Timestamp,GPS_Position_X,GPS_Position_Y,GPS_Position_Z,LEO_Position_X,LEO_Position_Y,LEO_Position_Z,PRN,Latitude,Longitude,Absolute_STEC,Elevation_Angle,date,LT
63530627524000.0,-3470815.4410359683,16351774.684533913,-20594127.956569113,-40469.9090057946,-175129.748983579,-6827079.876116031,29,-88.49185187653356,-103.01180889848429,16.79054576546284,37.82901668052508,2013-03-17 04:31:59,21.665601628989936
63530627524000.0,-14422156.506468438,-7024875.030265906,-21033648.46292792,-40469.9090057946,-175129.748983579,-6827079.876116031,2,-88.49185187653356,-103.01180889848429,16.19270032161415,42.65504221649631,2013-03-17 04:31:59,21.665601628989936
63530627524000.0,-12575681.469761387,-11619588.509845395,-20685602.30490355,-40469.9090057946,-175129.748983579,-6827079.876116031,10,-88.49185187653356,-103.01180889848429,14.927103600673696,40.46674233911458,2013-03-17 04:31:59,21.665601628989936
63530627524000.0,-8793608.647095134,-18951357.253605306,-16516368.815992478,-40469.9090057946,-175129.748983579,-6827079.876116031,4,-88.49185187653356,-103.01180889848429,20.33426577778568,26.541016678986317,2013-03-17 04:31:59,21.665601628989936
63530627524000.0,12399463.451807994,-9317954.175704213,-21529767.20688518,-40469.9090057946,-175129.748983579,-6827079.876116031,23,-88.49185187653356,-103.01180889848429,16.71278379552066,44.18224880799307,2013-03-17 04:31:59,21.665601628989936
63530627534000.0,-3490483.5850086836,16334353.15218176,-20604553.97051308,-5716.170070956329,-242888.406330368,-6825223.30925635,29,-87.96131816839298,-91.3481581117529,16.967984933612204,37.140185859963,2013-03-17 04:32:09,22.445956125883143
63530627534000.0,17388057.266864423,6657659.368337654,-19284672.61068488,-5716.170070956329,-242888.406330368,-6825223.30925635,30,-87.96131816839298,-91.3481581117529,19.281158128776326,32.84066162196875,2013-03-17 04:32:09,22.445956125883143
63530627534000.0,9146038.859857874,16418594.480676813,-18471490.212293677,-5716.170070956329,-242888.406330368,-6825223.30925635,31,-87.96131816839298,-91.3481581117529,17.902543382671674,29.67996532921176,2013-03-17 04:32:09,22.445956125883143
63530627534000.0,12419940.073461542,-9299655.23837656,-21526268.554352265,-5716.170070956329,-242888.406330368,-6825223.30925635,23,-87.96131816839298,-91.3481581117529,17.195978626785813,44.85209658429433,2013-03-17 04:32:09,22.445956125883143
63530627534000.0,-8787523.197225915,-18971199.328656826,-16496194.713145727,-5716.170070956329,-242888.406330368,-6825223.30925635,4,-87.96131816839298,-91.3481581117529,20.404553064312775,26.920563961011908,2013-03-17 04:32:09,22.445956125883143
63530627534000.0,-14417276.970686866,-7051604.360857643,-21028611.09709748,-5716.170070956329,-242888.406330368,-6825223.30925635,2,-87.96131816839298,-91.3481581117529,15.971905295802822,42.59217451015964,2013-03-17 04:32:09,22.445956125883143
63530627534000.0,-12551631.095887547,-11628361.437548393,-20695002.038182013,-5716.170070956329,-242888.406330368,-6825223.30925635,10,-87.96131816839298,-91.3481581117529,16.574356102308947,40.69514371428323,2013-03-17 04:32:09,22.445956125883143
63530627544000.0,17367079.2319569,6668879.687986137,-19299994.510247704,28939.4549774721,-310667.583072798,-6822515.12634634,30,-87.3815293764903,-84.67811409051615,19.43501719811133,32.94237693340445,2013-03-17 04:32:19,22.8934035050767
63530627544000.0,-3510171.5520117995,16316934.123195639,-20614935.962750077,28939.4549774721,-310667.583072798,-6822515.12634634,29,-87.3815293764903,-84.67811409051615,17.38502882699348,36.45170823010072,2013-03-17 04:32:19,22.8934035050767
63530627544000.0,12440423.496662434,-9281371.288982455,-21522723.967857406,28939.4549774721,-310667.583072798,-6822515.12634634,23,-87.3815293764903,-84.67811409051615,16.857132316378003,45.51870413214915,2013-03-17 04:32:19,22.8934035050767
63530627544000.0,9139726.339339247,16441650.722289167,-18453991.28573276,28939.4549774721,-310667.583072798,-6822515.12634634,31,-87.3815293764903,-84.67811409051615,18.515232307718776,29.195961125570676,2013-03-17 04:32:19,22.8934035050767
63530627544000.0,-8781452.813767254,-18991020.3216322,-16475985.785877485,28939.4549774721,-310667.583072798,-6822515.12634634,4,-87.3815293764903,-84.67811409051615,19.773356375528863,27.298037383670064,2013-03-17 04:32:19,22.8934035050767
