index,alt,gps_time,lat,lon,qualflg,xpos,xpos_err,xvel,xvel_err,ypos,ypos_err,yvel,yvel_err,zpos,zpos_err,zvel,zvel_err,mlt
2013-03-16 18:28:00,467303.12437148765,416730480,-70.86920114697561,-89.52128830789489,0,18796.243806015,0.0048911410634253,170.369994171164,3.5887180567849e-06,-2249622.05595342,0.0072867811265138,7192.566287264391,1.15363691025871e-05,-6445010.09590457,0.0054551487945159,-2522.14855463416,6.22625567706455e-06,7.558394280668921
2013-03-16 18:29:00,468790.98656707443,416730540,-74.68535665098334,-89.02472934662387,0,30870.3547911419,0.0049218330574389,232.168820811357,3.59743195249449e-06,-1813414.77723407,0.0072639793122535,7342.15692240697,1.2675830561411e-05,-6581727.18396242,0.0053708510112621,-2033.42454126693,6.05576725193294e-06,7.608573883562069
2013-03-16 18:30:00,470098.533222897,416730600,-78.49488566892727,-88.04829751585748,0,46659.0450209017,0.0049487407367453,294.094592810999,3.62363480464305e-06,-1369231.37657609,0.0072341602311032,7458.34520358692,1.42516030059411e-05,-6688843.40683796,0.0053047092759219,-1535.81990102751,5.98974234721764e-06,7.690732021559075
2013-03-17 06:11:00,450174.654097978,416772660,78.88084461881917,-83.67028246507677,0,145620.553405327,0.0036850201460988,-252.299622164171,3.24351276446169e-06,-1312771.48500239,0.0051723658811267,7496.83023353841,1.09995954134673e-05,6678367.44125719,0.0044663440974932,1465.24554644631,5.04433638583703e-06,19.644489864119365
2013-03-17 15:38:00,446058.5520720314,416806680,76.60244308249128,-54.87398392930592,0,912497.595187209,0.006638746938655,4633.15400490653,9.24064220392547e-06,-1297100.39609189,0.0061003695891335,-5816.78327922581,1.07001007708603e-05,6616559.10278177,0.0053405751449683,-1784.22032333228,5.4416797807909e-06,6.865345644209168
2013-03-17 15:39:00,445080.18317801226,416806740,72.7632466073958,-54.1789275947089,0,1186698.96579619,0.0064628813100413,4503.55231364444,9.36240329410337e-06,-1644123.83737265,0.0060779634833669,-5746.11799498185,1.08993814504894e-05,6494556.25675312,0.0054357087939055,-2281.02988247031,5.88722302432675e-06,6.9287445250775335
2013-03-17 15:40:00,444030.81851913314,416806800,68.9189366385224,-53.8200506067564,0,1452531.48992559,0.0062866865518068,4354.33440227235,9.72519670654849e-06,-1986090.5558106,0.0060646235264729,-5648.257306120229,1.14193677390945e-05,6343039.33487743,0.0055519279847242,-2767.64990767367,6.55319047795527e-06,6.9697530881666
2013-03-17 15:41:00,442925.4293073639,416806860,65.07054477069947,-53.64193656593506,0,1708844.61451563,0.0061196691175028,4186.39509527493,8.724999649871681e-06,-2321375.79327822,0.0060640095291542,-5523.45504258729,1.01675673492403e-05,6162686.38724648,0.0056791143846984,-3241.86564992158,6.46098476990965e-06,6.998732364202423
2013-03-17 15:42:00,441780.93063021544,416806920,61.218441472775076,-53.57205817442226,0,1954543.95217165,0.005958523942304,4000.710895477131,7.99572170652486e-06,-2648373.92187677,0.0060595785073664,-5372.09546710322,9.216674421594568e-06,5954306.87372195,0.0058002186176609,-3701.51271220602,6.55510251640509e-06,7.020517436318458
2013-03-17 15:43:00,440615.9536051154,416806980,57.36275498025609,-53.5720189775013,0,2188596.07300802,0.0057957537324613,3798.33656695499,7.579282104643709e-06,-2965506.33180034,0.0060375082898516,-5194.69446889161,8.65469527571494e-06,5718838.33941181,0.0059075696909407,-4144.4883545796,6.93872311327648e-06,7.037667990629529
2013-03-17 15:44:00,439450.46385640744,416807040,53.50352795085878,-53.61958050500888,0,2410033.03899708,0.0056286273666604,3580.39925138416,7.477038195068e-06,-3271229.22287694,0.0059919090573736,-4991.89618407639,8.522792871195381e-06,5457342.36483964,0.0059974901895983,-4568.76207569322,7.68033683947556e-06,7.051666506801619
2013-03-17 15:45:00,438305.3639156949,416807100,49.64078694617098,-53.70096108010568,0,2617956.54488785,0.0054590335204281,3348.09192433919,7.64184313581641e-06,-3564041.26675452,0.0059242419175007,-4764.47192856887,8.7860582014724e-06,5170999.990941891,0.0060716715058957,-4972.38378044427,8.78889327919944e-06,7.063431670805575
2013-03-17 15:46:00,437202.13245424256,416807160,45.774577160501615,-53.8071539952085,0,2811541.71018443,0.0052961609624712,3102.66834786904,6.90512331539436e-06,-3842491.18128919,0.0058437143091459,-4513.31841996745,7.81016894765734e-06,4861106.65244071,0.0061307511724593,-5353.491792277539,8.388309943070671e-06,7.073563829864364
2013-03-17 15:47:00,436162.52720418666,416807220,41.904980830862876,-53.932013260837515,0,2990040.58365158,0.0051418298816482,2845.43807465207,6.39769171089543e-06,-4105185.22989299,0.0057491492808624,-4239.456857016709,7.13760620310266e-06,4529066.58456116,0.0061628437982242,-5710.32320411901,8.41182361206246e-06,7.0824726092103
2013-03-17 15:48:00,435208.20741471834,416807280,38.032126229466876,-54.07119046106925,0,3152785.27192964,0.0049926604196232,2577.75853361542,6.11481032272762e-06,-4350794.592661601,0.0056357371528617,-3944.02860457405,6.79042058264191e-06,4176386.50414468,0.0061611558674243,-6041.226792537351,8.97109471247436e-06,7.090447788406214
2013-03-17 15:49:00,434360.18499139417,416807340,34.156192432711535,-54.221511251864385,0,3299190.53641789,0.0048481893389638,2301.02640642459,6.02369693535326e-06,-4578062.3216738,0.0055039019375662,-3628.28727564913,6.736116895950571e-06,3804668.68488417,0.0061273979739466,-6344.668833147441,1.0067331082139e-05,7.097700868146068
2013-03-17 15:50:00,433638.43532274663,416807400,30.277412048578306,-54.38059256467182,0,3428755.98959132,0.0047107096441832,2016.67238230322,6.06815656090822e-06,-4785810.00658236,0.0053578840830185,-3293.5966795469,6.90175832768776e-06,3415603.76200504,0.006073716880709,-6619.23958029581,1.16093920319494e-05,7.104390590041521
2013-03-17 15:51:00,433061.5560411252,416807460,26.396070387800414,-54.54659854332221,0,3541067.91279047,0.0045878338517018,1726.15324398042,5.53781876153369e-06,-4972944.22605731,0.0052126262457141,-2941.42469499927,6.250317410143319e-06,3010962.96774398,0.0060234213834716,-6863.66352200905,1.10037197352006e-05,7.110639207525975
2013-03-17 15:52:00,432646.36537898425,416807520,22.51250275631081,-54.71807957524752,0,3635800.5549495,0.0044820160405773,1430.94297627435,5.11927222168795e-06,-5138462.56963144,0.0050766378372362,-2573.33587381098,5.75691129676608e-06,2592589.86503111,0.0059767532023967,-7076.80614293845,1.0839990073121e-05,7.116543217146332
2013-03-17 15:53:00,432407.51805001684,416807580,18.62709070861494,-54.89386278907459,0,3712716.91849197,0.0043901990340457,1132.52505371562,4.81966360396995e-06,-5281459.20565126,0.0049490584813386,-2190.98379147946,5.3921881843348e-06,2162391.73674322,0.0059275139889959,-7257.67862570064,1.11951490262178e-05,7.122180658757569
2013-03-17 15:54:00,432357.24848380964,416807640,14.74025713144723,-55.07297479617862,0,3771669.15538245,0.0043105840986762,832.386317375516,4.60116090085227e-06,-5401130.029318689,0.0048301474620191,-1796.10457108102,5.147373791943499e-06,1722330.67693263,0.0058803271160576,-7405.44424798029,1.20589262769569e-05,7.127616266134498
2013-03-17 15:55:00,432505.1208479805,416807700,10.852459153237831,-55.25458585832709,0,3812598.47090146,0.004241927308273,532.006566012413,4.4496441728017e-06,-5496777.32845901,0.0047223972023334,-1390.50635638396,4.989212728872679e-06,1274414.22744533,0.0058518723594495,-7519.425266780911,1.3345421111589e-05,7.132905189176957
2013-03-17 15:56:00,432857.68161943555,416807760,6.964180772578355,-55.43796803511676,0,3835534.43493985,0.0041844836884423,232.850401383093,4.20905372974733e-06,-5567813.75757123,0.0046314683704797,-976.058312724426,4.68234540335754e-06,820685.80158594,0.0058595228242247,-7599.10377668883,1.21749541828854e-05,7.138095784134219
2013-03-17 15:57:00,433418.24562487006,416807820,3.0759259566298836,-55.62246198044282,0,3840593.90042824,0.0041374210955728,-63.6378513918139,4.05337456890302e-06,-5613765.755868499,0.0045603162551042,-554.683570815769,4.49111256437767e-06,363215.108976117,0.0058859778110229,-7644.12146500123,1.14342882768361e-05,7.143231827231745
2013-03-17 15:58:00,434186.98019673955,416807880,-0.8117895234374826,-55.80744959726231,0,3827979.61945436,0.0040989174850717,-356.041308134202,3.97728234188407e-06,-5634276.6158455,0.0045079619934775,-128.351677609434,4.42006275717339e-06,-95911.62478621391,0.0059142062472445,-7654.28737582725,1.12462985144522e-05,7.148354337749435
2013-03-17 15:59:00,435160.8784293281,416807940,-4.698448148413986,-55.992330762663364,0,3797978.2379971,0.0040678164738694,-642.981845161491,3.963015810125919e-06,-5629108.848930391,0.0044741641300698,300.934717500449,4.44146921231733e-06,-554601.773502093,0.0059398730789374,-7629.578808804909,1.16513703336123e-05,7.153503129750559
2013-03-17 16:00:00,436333.71177490335,416808000,-8.58354010829283,-56.17650182460133,0,3750957.73721718,0.0040434808233125,-923.127436369267,4.02327829548213e-06,-5598145.83080681,0.0044588791199222,731.1515813153569,4.610484617148651e-06,-1010766.35979585,0.0059718000328813,-7570.139624423809,1.25771353543339e-05,7.1587182457040095
2013-03-17 16:01:00,437696.026552476,416808060,-12.466571919743869,-56.3593331798702,0,3687364.4990276,0.0040251788519073,-1195.197590064,4.0285729715399e-06,-5541392.73964235,0.0044600085806896,1160.26424199252,4.65058396952863e-06,-1462329.94188778,0.0060160350917438,-7476.276694470949,1.11757526797488e-05,7.164041451361853
2013-03-17 16:02:00,439235.2847121693,416808120,-16.34707440503967,-56.540144645824334,0,3607720.04433936,0.0040114212622182,-1457.96918204102,4.08275000540723e-06,-5458976.92723602,0.004472749007212,1586.23673919467,4.79411640817393e-06,-1907240.34882979,0.0060499437248927,-7348.45853381058,1.02819712107426e-05,7.1695178777239486
2013-03-17 16:03:00,440936.09887200594,416808180,-20.224610568241843,-56.71817667642312,0,3512617.42005784,0.0040014250158715,-1710.28222317771,4.20476990881423e-06,-5351147.68264148,0.0044946807751851,2007.04217488151,5.08461118909154e-06,-2343478.31845078,0.0060586945952233,-7187.31333770548,1.00180756439614e-05,7.175197940055489
2013-03-17 16:04:00,442780.5284178741,416808240,-24.09878333906139,-56.89255492707576,0,3402717.20957507,0.0039951622879453,-1951.04646039443,4.41064400037843e-06,-5218275.35244028,0.0045249857312343,2420.67429533001,5.567260378913451e-06,-2769067.00061447,0.0060404828934488,-6993.62579550104,1.03887472496195e-05,7.181139700314983
2013-03-17 16:05:00,444748.3317510355,416808300,-27.96924238415005,-57.062244144923426,0,3278743.17850657,0.0039937738987362,-2179.24689635532,4.715507650226589e-06,-5060849.73528697,0.0045652902513589,2825.15920176862,6.26375401700398e-06,-3182081.14973254,0.0060054780452376,-6768.329915098499,1.12690651970045e-05,7.1874119412312325
2013-03-17 16:06:00,446817.2403771542,416808360,-31.835689013942666,-57.225986216509064,0,3141477.63388186,0.0039970816153461,-2393.94781138845,4.6336334149692e-06,-4879477.89647095,0.0046131345096971,3218.56329215143,6.07597899634835e-06,-3580655.87017671,0.0059697150498454,-6512.50269509857,9.914755870900752e-06,7.194098296555025
2013-03-17 16:07:00,448963.33713205997,416808420,-35.69788011201171,-57.38221422737571,0,2991756.53932727,0.0040019349323856,-2594.29691347007,4.6596110197898e-06,-4674881.474523391,0.0046581411746628,3599.00252798944,6.10616083900724e-06,-3962995.0422336,0.0059244755721378,-6227.358448705359,9.00585241777458e-06,7.201302980520435
2013-03-17 16:08:00,451161.485729062,416808480,-39.55563073116022,-57.52892876807703,0,2830464.43672162,0.0040070560256392,-2779.52757411452,4.82918950354989e-06,-4447893.43475119,0.004695238837647,3964.6519549855,6.44878609768258e-06,-4327379.36783147,0.0058590793106238,-5914.242577768639,8.61407695338888e-06,7.20915903421602
2013-03-17 16:09:00,453385.7543574795,416808540,-43.408815485795934,-57.663513640276726,0,2658529.23168079,0.0040131320181157,-2948.9614255976,5.15880441807955e-06,-4199454.192683199,0.0047242148688525,4313.756289211389,7.14573409307691e-06,-4672174.003933961,0.0057724997740898,-5574.62321089387,8.7188166478862e-06,7.217840611954159
